subject,subcount,error
1,1,No such file: 'F:\code\code-replication1\free_avatar\ImageURL1'
1,2,No such file: 'F:\code\code-replication1\free_avatar\ImageURL2'
1,3,No such file: 'F:\code\code-replication1\free_avatar\ImageURL3'
2,1,type str doesn't define __round__ method
2,2,type str doesn't define __round__ method
2,3,type str doesn't define __round__ method
3,1,type str doesn't define __round__ method
3,2,type str doesn't define __round__ method
3,3,type str doesn't define __round__ method
4,1,type str doesn't define __round__ method
4,2,type str doesn't define __round__ method
4,3,type str doesn't define __round__ method
5,1,type str doesn't define __round__ method
5,2,type str doesn't define __round__ method
5,3,type str doesn't define __round__ method
6,1,type str doesn't define __round__ method
6,2,type str doesn't define __round__ method
6,3,type str doesn't define __round__ method
7,1,type str doesn't define __round__ method
7,2,type str doesn't define __round__ method
1,1,Invalid URL 'ImageURL1': No scheme supplied. Perhaps you meant https://ImageURL1?
1,2,Invalid URL 'ImageURL2': No scheme supplied. Perhaps you meant https://ImageURL2?
1,3,Invalid URL 'ImageURL3': No scheme supplied. Perhaps you meant https://ImageURL3?
2,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
2,2,"HTTPSConnectionPool(host='farm3.staticflickr.com', port=443): Max retries exceeded with url: /2127/5765052001_fa4c5fd8b0_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
2,3,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3747/8914150145_b9b336331c_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
3,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
3,2,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3543/3387356856_1c35c2efdf_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
3,3,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3674/9280612097_0567a0de3f_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
4,1,"HTTPSConnectionPool(host='farm5.staticflickr.com', port=443): Max retries exceeded with url: /4108/5185055338_1dec873bf3_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
4,2,"HTTPSConnectionPool(host='farm4.staticflickr.com', port=443): Max retries exceeded with url: /3858/14540292875_ffb91ba2fb_b.jpg (Caused by ProxyError('Unable to connect to proxy', SSLError(SSLZeroReturnError(6, 'TLS/SSL connection has been closed (EOF) (_ssl.c:1149)'))))"
